0,555,210,0,760,0,605,245,0,85,765,0,330,720,0,0,0,675,290,205,760,780,0,0,385,720,755,465,575,0,743,595,710,298,700,303,725,445,155,640
475,0,303,0,0,0,130,383,150,0,930,0,0,425,0,130,0,230,448,0,565,510,0,0,290,890,565,0,765,0,0,0,960,320,520,315,518,350,443,0
170,405,0,0,0,0,0,145,0,135,895,0,170,718,0,0,0,590,230,140,750,763,0,0,258,860,725,405,635,0,0,713,840,170,715,145,705,335,120,0
0,0,0,0,580,0,0,0,0,0,597,0,0,758,180,0,0,850,0,0,685,675,315,0,0,615,685,0,0,0,593,0,640,0,695,0,715,0,0,0
878,0,0,580,0,0,0,0,0,0,300,0,0,0,545,0,0,0,0,0,650,715,355,0,0,270,640,0,0,0,200,254,250,0,640,0,660,0,950,230
705,0,0,0,0,0,320,573,0,0,720,0,0,130,0,0,355,200,0,0,290,205,0,120,0,690,325,0,0,0,0,0,0,0,290,610,268,0,0,0
520,135,0,0,0,380,0,415,190,0,0,0,0,410,0,165,0,200,0,0,575,0,0,0,0,970,583,0,0,0,0,0,0,330,550,380,535,330,0,0
200,420,130,0,0,658,473,0,0,180,810,460,185,625,0,0,0,525,300,60,665,678,0,645,300,770,675,458,675,0,0,720,785,225,633,205,620,385,125,0
0,210,0,0,0,0,205,0,0,0,0,0,0,528,0,55,0,293,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,215,0,215,0,250,0,0
75,0,165,0,0,0,0,208,0,0,0,0,0,743,0,0,0,618,260,180,760,0,0,0,0,0,750,440,580,0,0,615,0,265,715,238,0,410,120,0
860,835,898,601,330,635,0,845,0,0,0,0,910,580,655,0,680,750,990,0,565,500,460,590,0,100,420,0,0,0,158,352,155,960,440,955,463,0,865,276
0,0,0,0,0,0,0,420,0,0,0,0,0,348,0,0,0,135,0,0,0,0,0,0,0,875,530,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,145,0,0,0,0,155,0,0,890,0,0,0,0,0,0,440,0,150,720,685,0,0,210,0,728,0,0,0,0,780,0,140,0,125,0,295,210,0
690,368,625,795,855,135,373,550,0,645,655,315,0,0,0,0,420,263,715,0,220,155,0,90,0,635,255,698,0,155,750,825,685,615,215,605,190,640,0,0
0,0,0,165,595,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,790,795,0,0,0,0,795,0,0,0,625,0,0,0,803,0,790,0,0,0
